"Electricity Tariff ID","PES Area ID","Profile Class","Tariff Type","Usage Band Min","Usage Band Max","Earliest Contract Start Date","Latest Contract Start Date","Daily Standing Charge","Monthly Standing Charge","Quarterly Standing Charge","Daily Standing Charge AMR","Monthly Standing Charge AMR","Quarterly Standing Charge AMR","Unit Rate","Night Unit Rate","Evening Weekend Unit Rate","FIT Charge","Pricing Start","Pricing End"
"a0h3000000AYfZf","a0Z30000004Rl9D","1","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.12","","","","","","14.53","10.68","","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004Rl9D","1","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.11","","","","","","16.41","","12.09","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004Rl9D","1","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.11","","","","","","16.29","10.32","12.8","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004Rl9D","1","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.11","","","","","","13.85","","","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004Rl9D","2","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.12","","","","","","15.14","8.5","","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004Rl9D","2","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.12","","","","","","16.36","","11.01","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004Rl9D","3","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.15","","","","","","13.29","9.93","","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004Rl9D","3","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.16","","","","","","13.94","","11.15","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004Rl9D","3","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.17","","","","","","12.7","","","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004Rl9D","4","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.15","","","","","","13.75","8.57","","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004Rl9D","4","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","30.15","","","","","","14.75","8.6","12.31","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004RlDQ","1","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","29.17","","","","","","14.19","10.5","","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004RlDQ","1","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","29.17","","","","","","16.06","","11.81","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004RlDQ","1","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","29.19","","","","","","14.38","10.11","12.31","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004RlDQ","1","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","29.17","","","","","","13.55","","","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004RlDQ","2","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","29.18","","","","","","14.42","9.08","","","2020-04-20T00:00:00Z",""
"a0h3000000AYfZf","a0Z30000004RlDQ","2","1","100000","99999999","2020-04-16T00:00:00Z","2020-11-15T00:00:00Z","29.18","","","","","","15.65","","10.9","","2020-04-20T00:00:00Z",""
