Gas Tariff ID,LDZ ID,Usage Band Min,Usage Band Max,Earliest Contract Start Date,Latest Contract Start Date,Daily Standing Charge,Monthly Standing Charge,Quarterly Standing Charge,Daily Standing Charge AMR,Monthly Standing Charge AMR,Quarterly Standing Charge AMR,Unit Rate,Pricing Start Date,Pricing End Date,,
a0ba000000GdKld,a0Z30000004Rl9D,1,10000,,,35,,,,,,,2020-09-09T00:00:00Z,,,2.083
a0ba000000GdKld,a0Z30000004Rl9D,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004Rl9D,36634,73266,,,0,,,,,,3.0897,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004Rl9D,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004Rl9D,73267,109901,,,0,,,,,,2.6434,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004Rl9D,109902,146535,,,0,,,,,,2.5758,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004Rl9D,146536,219803,,,0,,,,,,2.4909,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004Rl9D,219804,293071,,,0,,,,,,2.467,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDQ,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDQ,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDQ,36634,73266,,,0,,,,,,2.8792,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDQ,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDQ,73267,109901,,,0,,,,,,2.5785,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDQ,109902,146535,,,0,,,,,,2.529,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDQ,146536,219803,,,0,,,,,,2.4455,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDQ,219804,293071,,,0,,,,,,2.4376,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEE,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEE,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEE,36634,73266,,,0,,,,,,2.9914,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEE,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
