Electricity_Tariff__c,PES_Area__c,Profile Class,Tariff Type,Usage Band Min,Usage Band Max,Earliest Contract Start Date,Latest Contract Start Date,Daily Standing Charge,Monthly Standing Charge,Quarterly Standing Charge,Daily Standing Charge AMR,Monthly Standing Charge AMR,Quarterly Standing Charge AMR,Unit Rate,Night Unit Rate,Evening Weekend Unit Rate,FIT Charge,Pricing Start,Pricing End
a0h1B00000FLP7H,a0Z30000004Rl9D,1,1,0,4999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,25.06,,,,,,,11.71,,,2020-09-14T00:00:00Z,2020-09-15T00:00:00Z
a0h1B00000FLP7H,a0Z30000004Rl9D,1,1,5000,9999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,25.06,,,,,,15.35,11.36,,,2020-09-14T00:00:00Z,
a0h1B00000FLP7H,a0Z30000004Rl9D,1,1,10000,19999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,25.06,,,,,,15.33,11.34,,,2020-09-14T00:00:00Z,
a0h1B00000FLP7H,a0Z30000004Rl9D,1,1,20000,49999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,25.06,,,,,,15.34,11.35,,,2020-09-14T00:00:00Z,
a0h1B00000FLP7H,a0Z30000004Rl9D,1,1,50000,99999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,25.06,,,,,,15.36,11.37,,,2020-09-14T00:00:00Z,
a0h1B00000FLP7H,a0Z30000004Rl9D,1,1,100000,99999999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,31.56,,,,,,16.27,12.28,,,2020-09-14T00:00:00Z,
a0h1B00000FLP7M,a0Z30000004Rl9D,1,1,0,4999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,26.79,,,,,,15.65,12.12,,,2020-09-14T00:00:00Z,
a0h1B00000FLP7M,a0Z30000004Rl9D,1,1,5000,9999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,26.79,,,,,,15.11,11.58,,,2020-09-14T00:00:00Z,
a0h1B00000FLP7M,a0Z30000004Rl9D,1,1,10000,19999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,26.79,,,,,,15.15,11.62,,,2020-09-14T00:00:00Z,
a0h1B00000FLP7M,a0Z30000004Rl9D,1,1,20000,49999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,26.79,,,,,,15.13,11.6,,,2020-09-14T00:00:00Z,
a0h1B00000FLP7M,a0Z30000004Rl9D,1,1,50000,99999,2020-09-14T00:00:00Z,2021-02-28T00:00:00Z,26.79,,,,,,15.14,11.61,,,2020-09-14T00:00:00Z,
